Datetime,Transaction,Description
10/3/18 16:10,Add/Drop,"EA added Jets D/ST, NYJ D/ST from Free Agency to Bench. EA dropped Javorius Allen, Bal RB to Waivers."
10/3/18 8:00,Add/Drop,"AMIT dropped Evan Engram, NYG TE to Waivers. AMIT added Nyheim Hines, Ind RB from Free Agency to Bench."
10/3/18 6:47,Add/Drop,"LURI added Raiders D/ST, Oak D/ST from Free Agency to Bench. LURI dropped Jets D/ST, NYJ D/ST to Free Agency."
10/3/18 6:14,Add/Drop,"LURI added Jets D/ST, NYJ D/ST from Free Agency to Bench. LURI dropped Raiders D/ST, Oak D/ST to Free Agency."
10/3/18 4:31,Add/Drop,"LURI dropped Packers D/ST, GB D/ST to Waivers. LURI added Raiders D/ST, Oak D/ST from Waivers to Bench for $0."
10/3/18 4:31,Add/Drop,"BULO dropped Brandon McManus, Den K to Waivers. BULO added Cairo Santos, LAR K from Waivers to Bench for $4."
10/3/18 4:31,Add/Drop,"AMIT dropped Jack Doyle, Ind TE to Waivers. AMIT added Austin Hooper, Atl TE from Waivers to Bench for $6."
10/3/18 4:31,Add/Drop,"SHAR added Panthers D/ST, Car D/ST from Waivers to Bench. SHAR dropped Browns D/ST, Cle D/ST to Waivers for $7."
10/3/18 4:31,Add/Drop,"POSN dropped Ty Montgomery, GB RB to Waivers. POSN added Mike Davis, Sea RB from Waivers to Bench for $12."
10/3/18 4:31,Add/Drop,"AMIT dropped Kenny Stills, Mia WR to Waivers. AMIT added Ravens D/ST, Bal D/ST from Waivers to Bench for $14."
10/3/18 4:31,Add/Drop,"on added Titans D/ST, Ten D/ST from Waivers to Bench. SLON dropped Seahawks D/ST, Sea D/ST to Waivers for $25."
10/3/18 4:31,Add/Drop,"TE dropped Tyler Eifert, Cin TE to Waivers. AA added Tyler Kroft, Cin TE from Waivers to Bench for $35."
10/3/18 4:31,Add/Drop,"BULO dropped Ryan Fitzpatrick, TB QB to Waivers. BULO added Dede Westbrook, Jax WR from Waivers to Bench for $69."
10/3/18 4:31,Add/Drop,"POSN dropped Benjamin Watson, NO TE to Waivers. POSN added Blake Bortles, Jax QB from Waivers to Bench for $103."
10/3/18 4:31,Add/Drop,"TE added Vance McDonald, Pit TE from Waivers to Bench. AA dropped Will Dissly, Sea TE to Waivers for $117."
10/3/18 4:31,Add/Drop,"JOSE added Nick Chubb, Cle RB from Waivers to Bench. JOSE dropped Tavon Austin, Dal RB to Waivers for $150."
9/30/18 10:57,Add/Drop,"LURI dropped Dallas Goedert, Phi TE to Free Agency. LURI added Ronald Jones, TB RB from Free Agency to Bench."
9/29/18 20:11,Add/Drop,"LURI added Dallas Goedert, Phi TE from Free Agency to Bench. LURI dropped Dez Bryant, FA WR to Free Agency."
9/29/18 18:21,Add/Drop,"SHAR added Geronimo Allison, GB WR from Free Agency to Bench. SHAR dropped Baker Mayfield, Cle QB to Waivers."
9/29/18 12:30,Add/Drop,"LURI added Dez Bryant, FA WR from Free Agency to Bench. LURI dropped Christian Kirk, Ari WR to Waivers."
9/28/18 4:31,Add/Drop,"LURI dropped Austin Hooper, Atl TE to Waivers. LURI added Eric Ebron, Ind TE from Waivers to Bench for $6."
9/27/18 19:38,Add/Drop,"SHAR dropped Joe Flacco, Bal QB to Free Agency. SHAR added Baker Mayfield, Cle QB from Free Agency to Bench."
9/27/18 19:34,Add/Drop,"SHAR dropped Ryan Tannehill, Mia QB to Waivers. SHAR added Joe Flacco, Bal QB from Free Agency to Bench."
9/27/18 4:31,Add/Drop,"LURI dropped Jake Butt, Den TE to Free Agency. LURI added Austin Hooper, Atl TE from Waivers to Bench for $0."
9/27/18 4:31,Add/Drop,"AMIT dropped Dez Bryant, FA WR to Waivers. AMIT added Evan Engram, NYG TE from Waivers to Bench for $3."
9/27/18 4:31,Add/Drop,"BULO dropped Cowboys D/ST, Dal D/ST to Waivers. BULO added Texans D/ST, Hou D/ST from Waivers to Bench for $12."
9/27/18 4:31,Add/Drop,"GABE added Chris Hogan, NE WR from Waivers to Bench. GABE dropped John Ross, Cin WR to Waivers for $20."
9/26/18 20:22,Add/Drop,"AMIT dropped Alfred Blue, Hou RB to Waivers. AMIT added Sterling Shepard, NYG WR from Free Agency to Bench."
9/26/18 19:05,Add/Drop,"TE added Will Dissly, Sea TE from Free Agency to Bench. AA dropped Eric Ebron, Ind TE to Waivers."
9/26/18 12:27,Add/Drop,"TE added Matthew Stafford, Det QB from Free Agency to Bench. AA dropped Robby Anderson, NYJ WR to Waivers."
9/26/18 6:04,Add/Drop,"LURI added Christian Kirk, Ari WR from Free Agency to Bench. LURI dropped Rex Burkhead, NE RB to Waivers."
9/26/18 4:31,Add/Drop,"LURI dropped Jacquizz Rodgers, TB RB to Waivers. LURI added Jake Butt, Den TE from Waivers to Bench for $0."
9/26/18 4:31,Add/Drop,"SHAR added Ryan Tannehill, Mia QB from Waivers to Bench. SHAR dropped Chase Edmonds, Ari RB to Waivers for $1."
9/26/18 4:31,Add/Drop,"AMIT dropped Robbie Gould, SF K to Waivers. AMIT added Matt Prater, Det K from Waivers to Bench for $2."
9/26/18 4:31,Add/Drop,"EA added Adam Vinatieri, Ind K from Waivers to Bench. EA dropped Sam Ficken, FA K to Waivers for $3."
9/26/18 4:31,Add/Drop,"LURI dropped Corey Clement, Phi RB to Waivers. LURI added Antonio Callaway, Cle WR from Waivers to Bench for $9."
9/26/18 4:31,Add/Drop,"BULO dropped Dan Bailey, Min K to Waivers. BULO added Brandon McManus, Den K from Waivers to Bench for $12."
9/26/18 4:31,Add/Drop,"on dropped Marlon Mack, Ind RB to Waivers. SLON added Seahawks D/ST, Sea D/ST from Waivers to Bench for $25."
9/26/18 4:31,Add/Drop,"EA added Javorius Allen, Bal RB from Waivers to Bench. EA dropped Texans D/ST, Hou D/ST to Waivers for $25."
9/26/18 4:31,Add/Drop,"POSN dropped Austin Hooper, Atl TE to Waivers. POSN added Benjamin Watson, NO TE from Waivers to Bench for $27."
9/26/18 4:31,Add/Drop,"BULO added Jordy Nelson, Oak WR from Waivers to Bench. BULO dropped Marquise Goodwin, SF WR to Waivers for $27."
9/26/18 4:31,Add/Drop,"on dropped Chris Hogan, NE WR to Waivers. SLON added Andy Dalton, Cin QB from Waivers to Bench for $35."
9/26/18 4:31,Add/Drop,"GABE added Tyler Boyd, Cin WR from Waivers to Bench. GABE dropped Jordan Matthews, Phi WR to Waivers for $121."
9/26/18 4:31,Add/Drop,"TE added Tyler Eifert, Cin TE from Waivers to Bench. AA dropped Evan Engram, NYG TE to Waivers for $204."
9/26/18 4:31,Add/Drop,"JOSE added Matt Ryan, Atl QB from Waivers to Bench. JOSE dropped Jimmy Garoppolo, SF QB to Waivers for $300."
9/24/18 19:04,Add/Drop,"LURI dropped Ronald Jones, TB RB to Free Agency. LURI added Jacquizz Rodgers, TB RB from Free Agency to Bench."
